Usuario	Juegos	Cartera	Broquer	An�lisi	Noticies	Foros	Previsi�	Inversi�	Ahorro	Temps real
493	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
494	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
495	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
496	11.11	11.11	0.00	0.00	0.00	0.00	0.00	11.11	0.00	11.11
499	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
500	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
501	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
502	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
503	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
504	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
505	11.11	11.11	0.00	0.00	0.00	0.00	0.00	11.11	0.00	11.11
506	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
508	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
509	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50
510	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
514	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
515	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	10.00
516	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
517	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
518	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
519	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
520	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
521	22.22	22.22	0.00	0.00	0.00	0.00	0.00	11.11	11.11	11.11

